umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
92.0,23.5,1005.1,-3.54,0.0,25.0
94.0,23.2,1005.8,-3.524,0.0,24.3
94.0,23.1,1006.5,-2.938,0.0,24.1
94.0,22.7,1006.4,-3.477,0.0,23.7
95.0,22.4,1006.4,-3.533,0.0,23.3
95.0,22.3,1006.4,-3.119,0.0,23.2
95.0,22.6,1005.6,-1.155,0.0,23.4
95.0,22.8,1005.4,-1.783,0.0,23.6
95.0,23.0,1005.6,-1.536,0.0,23.9
95.0,22.3,1006.1,-3.502,0.0,23.2
95.0,21.8,1006.7,-3.406,0.0,22.6
95.0,22.8,1007.7,89.495,0.0,23.6
86.0,23.0,1008.5,449.44,0.1,25.6
73.0,22.4,1009.0,957.18,4.8,27.7
65.0,22.9,1008.8,2175.644,4.0,30.2
65.0,23.0,1008.2,2729.901,4.5,30.4
59.0,23.3,1007.5,2586.963,3.9,32.4
60.0,23.0,1006.6,2661.451,3.2,31.8
54.0,23.3,1005.2,2652.459,3.6,34.0
56.0,23.4,1003.9,2216.409,3.0,33.5
55.0,23.0,1003.1,1947.625,2.6,33.3
57.0,22.5,1003.2,955.785,2.0,31.9
63.0,23.1,1003.5,428.116,1.8,31.0
66.0,22.3,1004.2,16.133,4.4,29.4
73.0,22.6,1005.1,-3.538,1.4,27.9
80.0,23.1,1005.9,-3.54,0.1,26.9
90.0,23.6,1006.9,-3.538,0.0,25.3
93.0,23.2,1007.0,-3.426,0.0,24.4
94.0,22.9,1006.4,-3.155,0.0,24.0
94.0,22.9,1005.9,-3.081,0.0,23.9
92.0,22.9,1005.0,-3.455,0.1,24.3
87.0,22.8,1004.8,-2.987,0.4,25.1
92.0,22.8,1004.4,-3.424,0.0,24.1
88.0,22.8,1004.7,-3.314,0.8,24.8
87.0,22.8,1005.5,-3.54,1.6,25.2
85.0,22.9,1006.5,90.216,2.6,25.6
80.0,22.8,1007.3,447.238,2.9,26.5
74.0,23.1,1008.0,1487.762,3.7,28.1
72.0,23.5,1008.3,1363.872,2.3,29.1
67.0,23.3,1007.4,2177.296,3.2,30.1
61.0,22.4,1006.7,2517.171,3.4,30.7
61.0,22.7,1005.7,2150.932,2.8,31.3
62.0,23.3,1004.9,1903.553,2.4,31.5
79.0,24.8,1004.2,1611.447,0.0,28.8
80.0,25.3,1003.8,906.881,0.1,29.1
72.0,24.1,1003.5,886.145,0.3,29.7
75.0,24.1,1004.2,364.186,0.8,29.0
92.0,25.2,1004.8,7.883,0.0,26.7
93.0,24.4,1005.5,-3.538,0.0,25.6
94.0,24.1,1006.8,-3.267,0.0,25.1
