umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
75.0,18.1,926.9,-3.54,1.3,22.8
74.0,17.6,926.7,-3.54,1.5,22.5
74.0,17.3,926.6,-3.54,1.3,22.1
77.0,17.3,925.9,-3.54,1.3,21.6
80.0,17.6,925.4,-3.54,1.5,21.2
77.0,17.4,925.4,-2.845,2.7,21.6
85.0,17.5,925.2,-3.54,1.1,20.1
90.0,17.9,925.0,-3.54,1.2,19.6
92.0,17.9,925.7,-3.538,0.0,19.2
94.0,18.7,927.2,65.625,0.0,19.8
85.0,19.3,927.9,634.595,0.6,22.0
72.0,17.8,928.7,1199.32,2.9,23.1
67.0,18.7,928.5,2326.906,2.3,25.2
59.0,18.1,928.0,3141.193,3.4,26.7
54.0,17.9,927.2,3690.563,3.3,28.2
50.0,17.2,926.7,2400.725,2.4,28.6
42.0,15.8,925.6,2702.359,1.1,30.1
43.0,16.0,924.4,2212.97,0.5,30.1
41.0,15.8,923.2,2221.343,1.3,30.8
44.0,16.8,923.1,899.659,1.5,30.5
63.0,18.6,923.6,637.223,4.4,26.2
75.0,19.8,923.9,127.853,1.9,24.5
73.0,18.6,924.7,2.208,4.2,23.7
87.0,19.4,926.3,-2.467,1.3,21.7
92.0,20.5,926.8,-2.883,1.8,21.9
92.0,20.3,926.4,-1.935,2.3,21.7
92.0,20.6,926.9,-1.279,0.5,21.9
91.0,19.5,926.2,-0.967,2.0,21.0
92.0,19.5,925.7,-2.443,1.6,20.9
91.0,19.5,925.9,-2.433,1.6,20.9
91.0,19.4,925.3,-2.071,1.5,20.9
92.0,19.2,925.1,-2.55,1.4,20.7
93.0,19.5,925.5,-3.06,0.0,20.6
94.0,19.8,925.6,38.32,0.6,20.9
85.0,19.9,926.1,422.687,0.5,22.5
76.0,19.5,926.3,1293.903,1.2,24.0
72.0,19.0,926.6,1136.92,3.0,24.5
63.0,18.5,925.9,1514.15,4.0,26.0
56.0,18.6,925.2,3582.723,3.7,28.2
49.0,17.4,924.6,2487.003,2.9,29.0
51.0,18.8,923.9,2959.351,2.9,30.0
43.0,16.5,923.2,2740.246,2.1,30.5
43.0,16.8,922.3,2657.186,2.6,30.7
39.0,15.8,921.7,1782.966,2.7,31.2
61.0,17.8,922.5,492.113,3.0,26.0
64.0,18.9,923.2,228.86,1.2,26.4
67.0,18.9,924.2,-0.859,2.9,25.5
68.0,19.3,925.4,-3.236,1.4,25.6
72.0,19.4,925.9,-3.54,2.5,24.9
77.0,19.8,926.1,-3.54,1.1,24.0
82.0,19.9,926.0,-3.54,0.0,23.2
89.0,20.0,925.5,-3.54,0.0,22.0
91.0,20.1,925.3,-3.534,0.0,21.6
89.0,20.1,925.2,-3.54,2.1,21.9
90.0,19.7,925.2,-3.54,2.1,21.4
91.0,19.6,925.3,-3.54,1.6,21.1
92.0,19.4,925.7,-3.538,1.6,20.8
92.0,19.6,926.5,40.169,1.8,20.9
87.0,20.1,927.1,495.491,2.0,22.4
77.0,20.5,927.6,1265.006,0.9,24.9
69.0,20.4,927.8,2557.338,1.0,26.5
67.0,19.6,927.5,1398.913,0.2,26.1
70.0,20.6,927.0,1127.487,1.2,26.5
57.0,18.6,926.4,2543.284,0.7,28.0
52.0,18.4,925.8,2423.523,0.4,29.2
51.0,17.9,925.0,1608.098,1.9,29.2
44.0,16.4,924.4,1655.521,0.1,30.0
41.0,15.1,924.4,1433.151,1.9,29.8
46.0,16.8,924.8,837.89,1.0,29.7
52.0,17.7,925.1,302.621,0.0,28.6
67.0,20.0,925.8,10.053,0.0,26.6
81.0,19.9,926.4,-2.947,3.1,23.4
85.0,20.4,927.3,-2.263,0.3,23.0
88.0,20.5,927.4,-3.272,1.7,22.6
89.0,20.4,927.1,-2.619,1.6,22.3
87.0,20.2,926.6,-1.897,2.5,22.5
86.0,19.7,926.1,-1.49,1.9,22.2
85.0,19.5,926.0,-1.435,2.0,22.1
88.0,19.7,926.1,-2.623,0.8,21.8
89.0,19.8,926.5,-3.466,1.5,21.8
90.0,19.6,927.0,-3.531,1.4,21.3
92.0,19.5,927.9,21.283,1.0,20.8
84.0,19.7,928.3,585.306,2.3,22.6
72.0,19.8,928.8,1488.752,1.5,25.1
67.0,18.2,929.1,1499.355,2.5,24.8
62.0,19.1,929.0,2902.604,2.9,27.1
56.0,18.2,928.3,3024.522,3.2,27.9
52.0,17.8,927.7,2087.34,2.5,28.7
51.0,17.5,926.9,3647.431,2.1,28.7
46.0,16.7,925.8,2138.122,2.6,29.5
