umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
92.0,21.0,949.3,-3.54,2.3,22.3
91.0,20.6,949.7,-3.54,2.1,22.1
88.0,20.0,949.4,-3.54,1.3,22.1
90.0,20.2,949.1,-3.54,2.3,21.9
91.0,19.8,948.6,-3.54,1.5,21.4
92.0,19.8,947.8,-3.54,2.0,21.2
92.0,19.4,947.3,-3.54,1.8,20.8
95.0,19.6,947.7,-3.54,1.7,20.4
95.0,19.7,948.3,-3.445,1.8,20.4
95.0,19.8,949.2,38.054,1.9,20.6
92.0,20.5,950.1,500.662,2.2,21.9
85.0,21.0,950.4,1397.711,2.4,23.7
71.0,21.0,950.4,2232.816,1.1,26.7
65.0,21.1,950.3,2752.136,1.2,28.3
55.0,19.6,949.7,3577.426,1.3,29.5
50.0,19.2,949.2,3845.604,1.3,30.7
47.0,19.4,948.5,3529.171,1.6,32.2
41.0,18.1,947.8,3687.171,1.7,32.9
45.0,18.9,946.9,3130.122,2.1,32.4
42.0,18.1,946.1,2123.515,0.9,32.5
42.0,18.3,945.9,1691.027,1.8,33.0
48.0,18.5,946.6,654.878,1.3,30.6
56.0,18.8,947.0,35.494,0.4,28.4
64.0,20.0,947.4,-3.538,1.0,27.3
69.0,19.5,948.9,-2.834,4.2,25.5
68.0,19.3,949.5,-3.045,2.3,25.7
71.0,19.7,949.3,-3.503,1.0,25.4
78.0,19.9,948.7,-3.54,0.8,24.0
82.0,20.3,948.1,-3.537,1.4,23.6
89.0,20.6,947.7,-3.54,0.1,22.5
86.0,20.4,947.8,-3.262,1.1,22.9
83.0,19.8,947.8,-3.538,0.6,22.9
86.0,19.7,947.6,-3.514,0.3,22.0
90.0,20.3,948.2,24.846,0.3,21.9
90.0,21.1,949.2,280.614,1.9,22.9
70.0,20.4,949.5,1165.134,1.3,26.2
60.0,20.3,949.7,2205.777,2.1,28.9
57.0,20.3,949.8,2609.129,2.1,29.7
54.0,20.1,949.8,3416.176,2.6,30.5
52.0,20.8,949.2,3739.94,2.6,32.0
47.0,19.8,948.7,3681.215,2.7,32.5
46.0,20.3,947.9,2577.273,2.5,33.4
46.0,20.0,946.9,3160.097,2.7,33.3
43.0,19.0,946.0,2270.476,2.3,33.4
45.0,18.8,945.6,1422.291,2.1,32.2
47.0,19.1,945.7,753.775,1.9,31.8
58.0,20.1,946.6,144.469,0.6,29.2
65.0,20.2,947.2,-3.54,0.0,27.4
66.0,19.7,947.7,-3.54,0.0,26.7
69.0,19.9,948.2,-3.54,0.5,26.0
80.0,21.4,948.4,-3.54,1.1,25.0
82.0,20.9,948.1,-3.54,2.0,24.1
84.0,20.7,947.7,-3.54,2.3,23.6
83.0,20.1,947.3,-3.54,2.2,23.1
84.0,19.7,946.9,-3.54,2.5,22.5
82.0,19.5,946.8,-3.54,1.8,22.6
82.0,19.4,946.9,-3.54,1.7,22.6
83.0,19.5,947.3,27.187,0.9,22.5
77.0,20.7,947.6,528.682,1.3,25.0
66.0,20.9,947.9,1406.862,2.0,28.0
56.0,20.4,947.9,2227.869,3.6,30.2
49.0,19.3,947.4,2939.716,3.4,31.4
48.0,19.9,946.6,3461.461,3.8,32.3
44.0,18.8,945.9,3449.726,4.5,32.6
41.0,18.7,946.0,3586.341,2.4,33.7
43.0,19.9,945.8,3571.927,3.9,34.5
43.0,18.5,944.9,2908.019,3.0,32.8
37.0,17.4,944.0,2306.746,2.5,33.9
45.0,18.5,943.7,747.4,4.6,31.7
61.0,19.9,943.7,564.512,1.7,28.2
62.0,19.5,944.4,121.307,0.3,27.4
61.0,19.2,945.2,-3.489,1.1,27.4
70.0,20.0,945.8,-3.323,1.3,25.9
70.0,20.1,946.3,-3.519,0.8,26.1
82.0,21.8,946.8,-3.261,0.0,25.1
93.0,20.3,949.6,-2.055,4.4,21.5
93.0,20.2,947.6,-1.178,3.6,21.4
92.0,19.8,946.8,-2.585,3.6,21.1
91.0,19.3,946.3,-0.563,3.3,20.9
92.0,19.2,945.9,-1.592,2.4,20.6
93.0,19.1,945.6,-3.247,1.6,20.2
93.0,19.2,946.1,25.688,1.1,20.4
82.0,19.6,946.6,556.879,2.7,22.7
74.0,20.0,946.8,1381.077,3.6,24.9
68.0,20.3,947.3,2081.164,3.2,26.6
62.0,20.6,947.7,2846.959,5.0,28.6
60.0,21.9,947.6,3376.271,3.4,30.5
53.0,20.4,947.2,3605.092,2.2,31.2
49.0,19.7,945.8,3357.97,1.9,31.8
52.0,20.8,944.2,2853.181,0.9,31.8
60.0,21.5,943.5,1335.015,1.8,30.0
67.0,22.2,943.0,277.901,1.1,29.0
72.0,20.2,943.9,136.185,1.8,25.6
76.0,20.4,945.2,86.462,1.2,24.9
78.0,19.9,945.7,12.871,2.0,24.0
77.0,19.7,946.1,-3.152,2.7,24.1
