umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
79.0,23.1,969.0,-3.509,1.7,27.0
81.0,22.4,969.8,-3.337,3.7,25.8
89.0,22.7,969.6,-3.372,1.1,24.7
90.0,22.5,968.8,-3.371,0.0,24.3
92.0,22.8,968.3,-3.201,0.5,24.2
91.0,22.3,967.5,-3.06,0.0,23.8
91.0,22.3,967.3,-3.173,0.6,23.8
92.0,22.4,967.6,-3.031,1.6,23.8
93.0,22.4,968.4,-1.441,0.0,23.6
89.0,21.3,968.6,-2.504,1.1,23.1
91.0,22.0,969.6,61.695,0.1,23.6
91.0,22.3,971.2,267.084,2.1,24.0
82.0,20.5,972.2,605.95,1.5,23.8
81.0,21.1,972.3,608.911,1.9,24.6
87.0,21.8,973.1,480.273,2.2,24.1
88.0,21.5,972.2,641.009,1.9,23.7
77.0,22.4,970.4,2151.897,1.0,26.8
64.0,21.9,968.8,3427.709,1.8,29.4
62.0,22.0,968.1,2649.981,1.7,29.9
61.0,21.5,967.8,2518.546,2.4,29.9
58.0,20.6,967.3,1831.466,2.0,29.7
72.0,22.7,967.8,761.676,1.7,28.3
79.0,22.9,968.7,115.819,2.0,26.8
85.0,22.7,969.8,-3.397,2.8,25.4
82.0,22.2,970.8,-3.516,0.8,25.5
88.0,22.9,970.9,-3.464,1.1,24.9
85.0,21.6,971.3,-2.953,0.7,24.3
88.0,22.0,971.2,-0.311,1.5,24.1
89.0,22.0,970.2,-2.469,1.2,24.0
89.0,22.0,969.0,-3.255,1.8,23.9
88.0,21.6,969.0,-3.487,1.9,23.6
90.0,21.0,968.8,-3.48,2.4,22.7
89.0,20.5,969.1,-3.52,2.1,22.5
91.0,20.6,969.4,-3.535,0.0,22.2
91.0,20.9,970.2,96.756,1.1,22.4
86.0,21.6,970.6,652.989,1.6,24.2
76.0,22.0,971.0,1501.804,1.0,26.6
70.0,22.6,971.0,2239.352,1.3,28.7
70.0,22.8,970.7,2063.659,2.3,28.9
66.0,22.9,970.1,3014.837,2.4,30.0
59.0,22.2,969.4,3382.64,3.0,31.3
52.0,20.9,968.7,3685.06,2.6,32.1
52.0,21.3,967.9,2218.039,2.8,32.5
52.0,21.1,967.0,2517.032,2.6,32.3
53.0,21.1,966.2,1773.655,2.3,31.7
55.0,21.4,966.3,1011.291,1.7,31.5
63.0,21.8,966.7,214.132,0.0,29.7
68.0,22.4,967.7,-3.514,0.0,28.8
75.0,22.6,968.2,-3.54,0.0,27.3
76.0,22.3,968.7,-3.48,1.2,26.8
81.0,22.1,969.5,-3.54,0.0,25.7
75.0,20.6,968.9,-3.54,0.0,25.3
84.0,21.2,968.3,-3.54,0.0,24.1
84.0,21.1,967.6,-3.528,0.0,24.0
81.0,20.6,967.3,-3.54,0.0,24.1
87.0,20.6,967.0,-3.54,0.0,22.9
89.0,20.7,967.3,-3.54,0.3,22.7
90.0,20.8,967.8,-3.51,0.0,22.5
87.0,21.4,968.6,143.844,0.0,23.8
73.0,21.5,969.3,872.464,1.5,26.7
72.0,22.5,969.7,1702.375,1.8,28.1
64.0,22.3,970.0,2438.536,2.4,29.9
62.0,22.0,969.9,2761.016,2.3,30.1
62.0,22.2,969.4,2083.3,2.1,30.4
56.0,21.9,968.5,2208.554,2.1,31.7
56.0,21.7,967.4,2427.429,2.3,31.6
53.0,21.7,966.2,2682.545,2.4,32.4
52.0,21.3,965.3,2218.194,2.5,32.3
52.0,21.1,964.6,1703.072,2.6,32.1
50.0,20.1,964.8,897.942,2.1,31.7
59.0,20.7,965.0,171.769,0.0,29.7
61.0,20.7,965.4,-3.54,0.0,28.9
72.0,21.8,966.2,-3.54,0.0,27.2
75.0,22.0,966.3,-3.477,0.0,26.8
80.0,22.0,966.4,-3.54,0.0,25.8
81.0,21.9,966.5,-3.54,0.0,25.5
83.0,21.8,966.1,-3.539,0.0,24.9
86.0,21.9,966.1,-3.54,0.0,24.4
90.0,22.2,965.9,-3.426,0.0,23.9
90.0,22.0,966.2,-3.471,0.0,23.7
88.0,21.4,966.3,-3.34,0.0,23.5
90.0,21.7,967.1,-3.4,0.0,23.4
86.0,22.0,968.0,148.414,0.0,24.5
72.0,21.9,968.3,782.172,0.6,27.2
68.0,22.5,968.6,1591.894,2.1,29.1
61.0,22.1,968.6,2401.1,2.6,30.5
58.0,22.8,968.5,3012.681,3.2,32.1
52.0,22.0,967.8,3178.454,2.7,33.2
53.0,22.1,966.0,2871.112,3.1,32.9
54.0,22.6,965.2,3145.596,3.6,33.1
51.0,22.2,964.4,3094.469,3.0,33.8
63.0,22.7,963.9,2437.282,7.7,30.5
65.0,22.1,964.2,1352.493,5.6,29.4
69.0,21.7,964.5,724.022,5.2,27.9
76.0,20.0,966.9,125.426,4.6,24.5
80.0,19.8,967.6,-3.174,2.1,23.4
83.0,20.5,968.4,-3.347,2.3,23.6
91.0,20.6,969.1,-3.251,2.4,22.2
92.0,20.9,970.1,-1.552,2.2,22.2
92.0,20.7,970.4,-2.509,2.7,22.1
93.0,20.6,969.4,-0.998,4.4,21.9
93.0,20.3,968.2,-1.388,2.8,21.6
93.0,20.3,967.7,-2.164,1.7,21.5
93.0,20.3,967.8,-1.98,2.1,21.6
93.0,20.2,967.6,-2.498,1.5,21.5
93.0,20.2,968.2,-2.801,0.8,21.4
93.0,20.3,968.6,42.958,1.5,21.6
91.0,20.6,968.9,287.739,1.7,22.2
85.0,20.9,969.3,870.787,1.0,23.6
80.0,21.0,969.4,1335.733,2.5,24.7
74.0,21.7,969.4,2146.994,2.6,26.8
67.0,21.6,969.3,2608.246,2.2,28.2
65.0,21.6,968.7,2064.984,2.2,28.7
62.0,21.6,967.8,1742.571,2.1,29.6
65.0,22.1,966.0,2243.713,3.2,29.3
62.0,22.3,965.0,2034.042,2.6,30.3
61.0,21.5,964.2,1087.942,3.0,29.7
65.0,21.4,964.4,421.895,2.7,28.5
71.0,21.6,965.1,139.972,1.5,27.4
79.0,21.5,966.2,-3.49,2.7,25.4
77.0,20.4,967.0,-3.381,0.9,24.8
83.0,20.5,968.1,-3.5,2.3,23.5
81.0,20.1,968.0,-3.367,1.9,23.7
87.0,20.6,968.1,-3.503,0.7,22.9
86.0,20.5,967.9,-3.536,1.4,22.9
88.0,20.4,967.2,-2.94,2.1,22.4
89.0,20.7,967.0,-3.122,2.0,22.6
92.0,20.3,967.6,-2.916,2.9,21.7
93.0,20.7,967.7,-2.818,2.0,21.9
93.0,20.9,968.3,-2.53,0.9,22.1
93.0,21.0,969.0,47.156,1.2,22.2
93.0,21.8,969.9,356.566,2.1,23.0
80.0,19.7,970.5,954.868,4.7,23.4
74.0,21.0,970.6,1698.371,1.7,25.9
70.0,20.9,970.6,1944.405,2.7,26.8
68.0,21.8,970.0,2848.687,2.6,28.3
67.0,21.8,969.2,2811.267,3.8,28.4
66.0,21.7,968.1,2403.045,3.1,28.8
62.0,21.6,966.6,2677.534,2.7,29.7
66.0,22.1,965.4,1915.418,2.8,29.0
65.0,21.9,965.7,1680.776,3.6,29.3
63.0,20.6,965.5,938.469,2.7,28.4
69.0,20.9,965.9,406.968,2.0,27.1
74.0,21.3,967.4,-0.484,0.6,26.3
82.0,20.3,968.9,-2.55,3.5,23.4
90.0,20.1,969.9,-3.442,3.1,21.9
92.0,20.6,970.3,-2.346,1.5,22.0
93.0,20.8,970.0,-1.842,1.1,22.0
93.0,20.8,969.5,-2.996,0.7,22.0
93.0,20.9,968.4,-3.154,1.0,22.0
93.0,20.8,968.0,-3.016,0.7,21.9
93.0,20.7,967.4,-2.564,0.7,21.8
94.0,20.4,967.4,-3.127,0.0,21.5
94.0,20.2,967.7,-3.088,0.0,21.3
94.0,20.2,968.7,63.388,1.5,21.2
94.0,22.1,969.4,582.959,0.0,23.2
80.0,21.8,970.1,1527.294,1.6,25.4
74.0,22.2,970.4,2369.139,1.8,27.3
70.0,22.3,970.3,2719.94,2.7,28.4
