umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
32.0,13.1,968.0,-3.54,2.4,31.7
35.0,13.9,968.4,-3.54,1.9,31.2
38.0,14.4,968.3,-3.54,1.9,30.5
45.0,15.0,968.1,-3.54,1.0,27.8
44.0,15.1,968.1,-3.54,2.4,28.5
52.0,16.9,968.4,-3.54,2.5,27.7
53.0,16.9,968.5,-3.54,2.0,27.1
61.0,18.0,968.4,-3.54,3.4,26.2
64.0,18.1,969.3,-3.54,3.4,25.5
67.0,18.4,970.0,45.191,3.1,24.9
66.0,18.4,970.8,515.273,3.6,25.2
58.0,18.6,971.2,1488.673,3.4,27.5
53.0,18.5,971.4,2420.468,2.9,28.9
48.0,18.1,970.7,2169.487,3.8,30.2
44.0,17.3,970.1,3334.983,1.7,31.0
40.0,16.8,969.5,2483.122,2.6,32.1
36.0,16.3,968.3,2824.4,2.1,33.3
31.0,15.3,967.0,2616.243,2.5,34.7
26.0,13.4,965.6,3099.453,3.2,35.7
23.0,11.8,965.2,2330.675,3.8,36.3
24.0,12.1,965.5,1251.73,3.9,35.7
27.0,13.1,966.0,364.177,3.1,34.6
29.0,12.8,966.5,-1.387,1.9,33.5
31.0,12.7,967.3,-3.54,1.9,32.2
31.0,12.4,968.0,-3.54,1.8,31.5
32.0,11.8,967.9,-3.54,1.6,30.5
39.0,12.5,968.2,-3.54,1.7,27.9
41.0,12.8,967.7,-3.54,1.1,27.2
44.0,13.4,967.5,-3.54,0.8,26.7
41.0,13.5,968.1,-3.54,1.2,27.8
42.0,13.5,968.3,-3.54,1.0,27.6
46.0,14.5,968.5,-3.54,2.6,27.2
48.0,14.8,968.9,-3.54,1.6,26.6
53.0,15.9,969.3,20.214,2.7,26.1
55.0,16.4,969.5,339.814,2.6,26.2
52.0,16.4,969.9,1147.162,5.1,27.1
48.0,16.7,970.0,2121.624,4.0,28.8
43.0,16.3,969.5,2867.386,3.6,30.4
39.0,15.5,968.5,3970.536,4.6,31.0
36.0,14.9,967.9,2731.987,3.6,31.9
30.0,13.9,967.2,3258.432,3.4,33.8
32.0,14.3,966.1,2643.133,3.8,33.4
27.0,13.1,965.4,2379.981,3.4,35.0
26.0,12.9,965.2,1924.044,3.8,35.0
27.0,13.2,964.9,1436.88,3.1,34.9
29.0,13.2,965.6,462.012,2.7,33.9
31.0,13.4,966.3,-0.699,2.3,32.9
34.0,13.6,967.1,-3.54,1.9,31.3
38.0,14.1,967.8,-3.54,2.0,29.8
40.0,14.2,968.0,-3.54,1.9,29.2
44.0,14.5,967.9,-3.54,1.7,27.9
47.0,14.5,967.5,-3.54,1.3,26.8
47.0,14.2,967.0,-3.54,1.3,26.5
48.0,14.1,966.9,-3.54,0.5,26.0
48.0,14.0,967.5,-3.54,1.6,25.9
48.0,14.5,968.0,-3.54,2.1,26.3
52.0,14.7,969.4,-3.54,1.7,25.4
53.0,14.7,970.3,10.708,1.6,25.0
51.0,15.4,970.3,327.074,3.0,26.3
48.0,16.4,970.8,1355.524,4.1,28.6
42.0,16.0,971.0,2589.17,3.8,30.3
40.0,15.2,970.8,2091.037,2.5,30.5
38.0,15.2,970.2,2952.71,2.7,31.2
36.0,15.1,969.4,2896.672,3.1,32.0
31.0,13.6,968.5,3836.346,1.7,32.9
31.0,13.9,967.7,3253.343,2.8,33.6
27.0,13.2,966.7,2495.43,1.5,35.1
27.0,13.4,966.7,1822.662,1.0,35.5
27.0,13.1,966.8,1422.93,1.1,35.0
28.0,12.9,967.2,405.042,0.7,34.1
28.0,12.8,967.8,-2.422,0.3,33.6
32.0,13.3,968.2,-3.54,0.8,32.1
41.0,15.4,968.4,-3.54,0.0,30.3
39.0,14.8,968.6,-3.54,0.8,30.4
43.0,14.8,968.3,-3.54,0.3,28.7
45.0,15.3,967.7,-3.54,0.0,28.4
45.0,15.9,967.8,-3.54,3.9,29.1
47.0,16.3,968.1,-3.54,1.8,28.7
54.0,17.9,968.4,-3.54,2.0,28.0
59.0,18.4,968.8,-3.54,2.9,27.2
58.0,17.9,969.7,-3.54,3.0,26.8
61.0,18.4,970.7,20.388,3.3,26.4
63.0,18.9,971.3,283.219,3.3,26.5
60.0,19.2,971.6,991.289,4.0,27.7
56.0,19.4,971.9,1461.247,3.4,29.2
52.0,18.8,971.6,2596.205,3.8,29.8
51.0,18.5,971.1,1154.526,3.7,29.8
45.0,18.2,970.2,2065.718,3.4,31.5
40.0,17.7,969.1,3669.691,3.0,33.0
34.0,15.7,967.9,3492.748,3.9,33.9
31.0,15.9,966.8,2725.326,3.4,35.5
30.0,14.6,966.1,2247.305,3.8,34.6
32.0,15.1,966.5,976.985,2.7,34.3
33.0,15.2,967.0,165.005,0.6,33.7
36.0,15.6,967.9,-1.659,1.5,32.5
45.0,17.1,969.5,-3.532,3.7,30.2
81.0,20.5,971.3,-1.927,5.0,23.9
84.0,19.0,971.9,-2.717,5.7,21.8
86.0,19.6,972.6,-3.528,0.1,22.1
89.0,20.1,971.0,-3.2,2.7,22.1
88.0,20.4,970.3,-2.95,3.2,22.4
87.0,20.1,969.7,-3.002,4.1,22.3
85.0,19.9,969.7,0.491,3.5,22.5
84.0,19.6,970.1,-2.419,2.6,22.4
82.0,19.4,971.0,-2.714,2.8,22.5
80.0,18.9,971.5,1.179,3.2,22.6
77.0,18.9,971.3,107.403,3.9,23.2
73.0,18.9,971.3,475.575,5.9,24.0
69.0,18.8,972.2,920.651,4.5,25.0
65.0,18.6,972.0,991.451,4.3,25.7
55.0,18.1,971.9,1572.064,3.3,27.9
50.0,17.2,971.1,2107.652,4.1,28.8
43.0,16.1,970.3,2255.979,3.4,29.9
40.0,15.5,969.2,2209.401,3.4,30.7
38.0,16.2,968.3,2953.113,2.8,32.4
36.0,15.2,967.7,2367.732,3.8,32.2
38.0,16.1,967.8,1253.393,2.8,32.1
40.0,15.9,968.0,231.43,3.5,31.0
44.0,16.6,968.5,5.394,1.7,30.2
49.0,17.2,968.8,-3.54,2.0,29.1
51.0,17.4,969.4,-3.54,2.1,28.4
58.0,18.1,969.7,-3.54,1.2,27.0
55.0,17.4,969.8,-3.54,2.7,27.3
55.0,17.2,969.8,-3.54,3.4,26.9
52.0,15.8,969.4,-3.54,4.2,26.4
54.0,15.7,969.7,-3.54,3.6,25.6
55.0,15.6,969.8,-3.538,3.7,25.1
57.0,15.5,970.1,-3.532,3.6,24.5
59.0,15.2,971.1,-3.54,4.2,23.7
63.0,15.6,971.6,25.878,3.7,23.0
66.0,16.6,972.2,317.016,3.3,23.2
64.0,17.3,972.5,1307.897,4.4,24.7
53.0,15.8,972.6,2609.96,3.9,26.2
48.0,16.0,972.4,3132.963,4.6,28.2
43.0,15.4,971.8,3912.46,3.8,29.3
35.0,13.2,971.0,4197.883,3.7,30.3
33.0,13.3,970.3,4092.247,3.0,31.7
31.0,13.3,969.4,3771.88,2.8,32.7
29.0,12.3,968.4,3178.369,3.4,32.8
27.0,12.0,967.6,2375.832,2.4,33.8
26.0,11.6,967.1,1419.113,2.6,33.7
27.0,11.9,967.0,453.978,2.0,33.1
31.0,12.5,967.1,3.747,0.1,31.4
40.0,14.9,967.9,-3.54,0.7,29.9
40.0,14.6,968.5,-3.54,1.5,29.7
36.0,13.0,969.1,-3.54,2.3,29.6
40.0,13.5,969.4,-3.54,1.8,28.5
41.0,13.3,969.3,-3.54,3.9,27.8
49.0,15.2,969.3,-3.54,2.7,26.7
62.0,18.0,969.9,-3.54,4.3,26.0
63.0,17.8,969.8,-3.54,5.4,25.3
67.0,17.8,970.2,-3.54,4.7,24.2
69.0,17.6,970.8,-3.54,4.2,23.6
70.0,17.7,971.5,18.516,3.9,23.5
66.0,17.9,972.0,530.454,3.7,24.8
63.0,18.0,972.4,1252.561,5.3,25.6
56.0,17.7,972.5,1926.884,5.6,27.4
52.0,17.6,972.2,2795.726,3.8,28.6
46.0,17.4,971.7,3153.703,3.4,30.4
41.0,17.1,970.8,3788.824,3.3,31.8
38.0,16.0,970.0,3811.473,2.9,32.3
33.0,14.8,969.0,3379.046,2.5,33.1
31.0,14.0,968.0,2944.851,2.3,33.7
29.0,13.9,967.4,2293.356,2.0,34.4
29.0,13.7,967.0,1375.802,1.1,34.2
30.0,13.5,967.2,430.988,0.4,33.4
34.0,14.3,967.7,4.284,0.5,32.3
38.0,15.3,968.3,-3.54,2.0,31.2
47.0,16.9,969.0,-3.54,1.5,29.2
54.0,17.8,969.5,-3.54,0.8,28.1
45.0,15.7,969.8,-3.54,1.9,28.8
48.0,16.1,969.4,-3.54,3.7,28.1
53.0,16.8,969.4,-3.54,2.8,27.2
62.0,18.7,969.6,-3.54,3.8,26.7
61.0,17.9,969.8,-3.54,4.5,25.9
59.0,16.9,970.2,-3.54,4.5,25.4
64.0,17.2,970.9,-3.54,4.5,24.5
68.0,17.6,971.7,28.726,4.3,24.0
65.0,17.6,972.2,339.32,3.9,24.6
61.0,17.0,972.6,857.066,4.3,25.1
53.0,16.9,972.9,1870.023,4.8,27.4
47.0,16.9,972.8,2939.779,5.1,29.3
43.0,16.3,972.2,3943.404,3.9,30.1
37.0,15.1,971.2,4132.543,3.7,31.7
32.0,14.6,970.3,4105.12,4.1,33.4
30.0,13.8,969.1,3627.794,3.8,33.8
29.0,13.7,968.1,2995.518,4.5,34.5
27.0,12.9,967.3,2502.491,4.5,34.4
27.0,12.6,967.2,1144.68,4.1,34.4
28.0,12.8,967.2,336.791,3.1,33.5
30.0,12.9,967.5,1.832,2.8,32.8
31.0,12.7,968.4,-3.54,3.7,31.9
33.0,12.8,969.5,-3.54,3.7,30.9
36.0,13.5,970.3,-3.54,5.4,30.1
41.0,14.0,970.7,-3.54,5.5,28.8
43.0,13.9,970.1,-3.54,4.8,27.5
46.0,13.7,969.8,-3.54,4.0,26.2
52.0,14.8,969.8,-3.54,3.6,25.4
59.0,16.3,970.0,-3.54,4.2,24.8
63.0,17.3,970.1,-3.217,3.4,24.8
64.0,17.9,970.5,-2.708,3.9,25.1
66.0,18.5,971.0,15.812,4.1,25.2
65.0,18.5,971.6,299.456,3.9,25.5
59.0,18.5,972.2,1232.615,4.1,27.1
53.0,17.4,972.4,1772.587,4.4,27.8
43.0,16.2,972.0,3423.612,4.7,30.1
35.0,14.3,971.4,3844.737,4.4,31.5
32.0,13.3,970.5,4175.637,4.6,32.3
29.0,13.1,969.5,4190.157,4.4,33.5
27.0,12.9,968.3,3916.527,3.4,34.6
27.0,12.8,967.3,3137.27,3.9,34.6
25.0,12.2,966.7,2315.307,4.6,35.3
25.0,12.4,966.4,1540.845,3.3,35.2
31.0,13.4,966.6,580.155,6.2,32.8
31.0,13.2,967.0,7.172,4.1,32.4
36.0,14.8,968.1,-3.54,4.4,31.8
38.0,14.8,968.7,-3.54,3.7,30.9
41.0,15.5,969.6,-3.54,4.8,30.3
50.0,17.5,970.3,-3.54,5.4,28.8
54.0,17.7,969.8,-3.54,5.8,27.7
57.0,17.7,969.7,-3.54,5.1,26.9
59.0,17.5,969.5,-3.536,4.3,26.2
61.0,17.3,969.7,-3.53,5.0,25.4
64.0,17.4,970.3,-3.54,4.0,24.6
65.0,17.2,970.8,-3.54,4.2,24.2
66.0,17.4,971.1,16.06,4.6,24.1
65.0,17.7,971.4,428.477,4.4,24.7
57.0,17.1,971.5,1272.624,5.8,26.3
48.0,15.7,972.0,2484.237,6.1,27.9
42.0,14.6,971.9,2944.049,5.4,29.0
34.0,13.7,971.2,3864.097,5.3,31.6
31.0,13.0,970.5,3865.045,4.9,32.3
29.0,13.4,969.4,4002.715,4.9,33.8
27.0,12.4,968.1,3780.217,4.4,33.9
25.0,11.8,967.1,3074.937,5.0,34.8
24.0,11.0,966.3,2412.402,4.9,34.7
23.0,10.8,966.5,1338.446,4.4,35.4
24.0,10.5,966.7,482.366,5.2,33.8
26.0,10.5,966.9,3.877,3.5,32.7
29.0,11.0,967.6,-3.54,2.3,31.4
32.0,12.1,968.6,-3.54,4.8,30.8
34.0,12.5,969.4,-3.54,6.5,29.9
41.0,13.7,969.7,-3.54,5.3,28.2
49.0,15.1,969.9,-3.54,5.5,26.8
52.0,15.3,969.8,-3.54,5.8,25.8
56.0,15.5,969.9,-3.54,5.5,25.0
58.0,15.7,969.8,-3.54,5.2,24.5
62.0,16.1,970.4,-3.54,3.0,24.0
64.0,16.5,970.8,-3.539,2.8,23.7
64.0,16.7,971.1,14.821,3.7,23.9
62.0,17.0,971.3,458.694,3.5,24.8
55.0,16.5,972.0,1434.702,5.5,26.1
48.0,15.8,972.2,2163.134,5.8,27.9
39.0,13.9,971.7,3319.727,6.4,29.1
36.0,13.4,971.6,4020.732,5.4,30.1
32.0,13.4,970.7,3902.836,4.3,32.3
29.0,12.1,969.5,4210.003,5.2,32.7
26.0,11.8,968.5,3877.877,5.1,33.9
25.0,11.1,967.9,3318.745,4.7,33.8
23.0,10.4,967.4,2522.325,3.8,34.3
23.0,10.2,967.3,1638.206,3.8,34.4
24.0,10.1,967.7,497.971,2.3,33.5
26.0,10.6,968.1,0.274,2.1,32.5
31.0,12.2,968.5,-3.54,1.6,31.3
38.0,14.4,969.6,-3.54,4.7,30.3
49.0,16.9,970.7,-3.418,5.3,28.7
55.0,17.5,971.2,-3.514,5.2,27.4
56.0,16.7,971.2,-3.54,5.6,26.3
57.0,16.4,971.4,-3.54,5.0,25.5
58.0,15.9,971.2,-3.54,5.8,24.8
59.0,15.8,971.3,-3.54,5.7,24.2
63.0,16.4,971.5,-3.54,3.6,23.8
62.0,16.5,971.8,-3.237,4.4,24.1
63.0,16.5,972.2,8.619,4.0,24.0
62.0,16.7,972.3,382.713,4.5,24.5
60.0,17.0,972.6,957.534,3.9,25.5
55.0,16.7,972.8,2273.219,5.4,26.5
47.0,16.4,972.7,3049.381,4.8,28.8
40.0,15.1,972.2,3170.454,4.7,30.0
37.0,14.9,971.7,3797.265,5.2,31.5
32.0,13.3,970.8,4243.912,4.6,32.1
31.0,13.2,969.6,3852.617,4.6,32.5
29.0,13.4,968.7,3252.037,4.1,33.9
28.0,13.2,968.3,2397.287,4.6,34.5
27.0,12.2,968.3,1331.145,3.9,34.0
29.0,12.5,968.3,364.239,3.3,33.0
31.0,12.7,968.5,3.626,2.8,32.0
31.0,12.6,969.3,-3.54,2.7,31.7
32.0,12.4,970.1,-3.54,3.1,30.9
46.0,16.7,970.8,-3.54,5.2,29.6
54.0,17.9,971.3,-3.54,5.1,28.2
57.0,17.6,970.9,-3.54,5.6,26.9
62.0,17.9,970.6,-3.54,4.7,25.7
66.0,17.9,970.3,-3.54,4.6,24.6
64.0,17.7,970.7,-3.497,3.5,24.8
62.0,17.0,970.8,-3.287,4.5,24.8
63.0,17.2,971.1,-3.358,4.1,24.8
63.0,17.4,971.5,16.949,3.5,24.9
63.0,17.7,972.2,179.529,4.0,25.1
63.0,18.1,972.7,908.843,4.4,25.7
58.0,17.9,972.6,1438.111,4.6,26.9
48.0,17.0,972.3,2781.256,4.5,29.0
42.0,17.2,971.7,3604.983,4.8,31.6
41.0,16.1,970.8,3538.033,5.7,31.0
33.0,14.9,970.1,4139.62,4.9,33.6
29.0,14.1,969.0,3672.764,5.1,34.7
27.0,13.2,967.8,2985.833,4.0,35.1
28.0,13.3,967.4,1359.819,4.1,34.4
31.0,12.9,967.7,1001.667,5.2,31.9
32.0,13.4,967.7,223.131,2.0,32.2
36.0,14.2,968.0,1.403,1.3,31.3
36.0,13.9,968.5,-3.54,3.5,30.8
39.0,14.7,969.3,-3.54,3.6,30.1
42.0,15.2,970.1,-3.54,3.9,29.7
46.0,16.3,970.7,-3.54,5.4,29.0
53.0,17.1,970.3,-3.54,4.8,27.7
56.0,17.4,970.5,-3.54,4.2,26.9
57.0,17.1,970.7,-3.54,4.1,26.2
59.0,17.1,970.9,-3.527,5.2,25.7
61.0,17.1,971.4,-3.347,4.0,25.2
64.0,17.5,971.7,-3.22,3.7,24.8
64.0,17.5,972.2,8.186,4.2,24.6
63.0,17.4,972.6,297.119,4.5,25.0
60.0,17.3,972.7,1063.128,5.0,25.7
52.0,17.4,972.7,1687.329,5.1,28.0
50.0,17.2,972.3,2749.983,5.6,28.6
43.0,16.6,971.8,3319.34,5.1,30.4
35.0,15.3,971.1,3550.911,4.6,32.8
34.0,14.4,970.2,3489.422,5.1,32.3
31.0,13.9,969.1,1936.585,4.4,33.1
29.0,13.3,968.0,1861.644,3.4,33.7
27.0,12.6,967.4,992.752,4.0,34.2
27.0,12.1,967.4,701.862,4.3,33.7
28.0,12.1,967.8,116.214,3.7,33.0
29.0,11.8,968.1,-1.571,3.2,32.2
29.0,11.5,968.7,-3.54,3.4,31.9
35.0,13.8,969.4,-3.54,4.0,30.8
37.0,13.4,970.0,-3.54,4.3,29.8
44.0,15.0,970.1,-3.54,5.0,28.6
47.0,15.2,970.1,-3.54,5.3,27.7
50.0,15.7,970.0,-3.54,5.2,26.8
55.0,15.8,970.1,-3.539,5.0,25.5
60.0,16.3,970.4,-3.54,3.7,24.5
65.0,16.8,970.7,-3.54,4.1,23.8
68.0,17.1,971.3,-3.54,4.5,23.3
70.0,17.3,971.8,12.114,3.7,23.1
67.0,17.5,972.5,514.462,4.3,24.0
60.0,17.8,973.1,1375.129,4.5,26.1
55.0,16.9,973.2,1897.375,4.5,26.6
46.0,15.8,972.6,3012.536,4.5,28.6
38.0,15.6,972.0,3883.678,4.9,31.5
32.0,13.7,971.1,4145.948,3.1,32.4
28.0,12.4,970.0,3543.327,4.3,33.6
26.0,11.9,968.8,3373.287,3.9,34.1
25.0,11.0,967.8,2480.835,4.3,33.8
23.0,11.4,967.4,2097.869,3.5,35.7
24.0,11.0,967.5,896.306,4.0,34.3
26.0,11.3,967.6,581.972,3.6,33.3
