umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
80.0,22.4,967.6,-3.474,0.0,26.1
82.0,22.0,968.1,-3.531,0.0,25.4
81.0,22.5,968.4,-3.339,0.0,26.1
84.0,22.7,968.0,-3.538,0.1,25.6
88.0,23.3,967.6,-3.463,0.0,25.4
88.0,22.8,967.6,-3.54,0.0,24.8
85.0,22.2,967.9,-3.331,0.0,24.9
89.0,22.5,967.8,-3.512,0.0,24.4
92.0,23.2,968.1,-3.54,0.0,24.6
95.0,23.0,968.4,17.195,0.0,23.9
83.0,22.8,968.8,432.6,0.0,26.0
77.0,23.3,969.3,1322.689,0.0,27.7
67.0,23.3,969.2,2171.511,0.0,30.2
62.0,23.1,969.0,2925.702,1.1,31.4
59.0,23.3,968.8,3571.219,2.1,32.4
55.0,22.8,968.7,3880.555,4.4,33.1
49.0,22.3,968.6,3599.371,4.6,34.6
47.0,21.1,967.9,3400.628,4.6,34.1
50.0,20.2,967.5,2127.156,3.1,31.9
43.0,20.3,966.5,2365.413,1.6,34.6
42.0,18.4,966.2,1556.892,0.0,32.9
51.0,20.3,966.7,620.857,0.0,31.7
62.0,21.4,967.8,152.272,0.0,29.6
66.0,20.4,968.7,-3.197,0.9,27.2
67.0,19.5,968.7,-3.54,0.0,26.2
74.0,20.5,968.4,-3.54,0.0,25.6
76.0,20.4,968.5,-3.54,0.0,25.0
84.0,20.9,968.5,-3.538,0.0,23.6
83.0,20.8,967.4,-3.54,0.0,23.9
89.0,20.6,967.4,-3.54,0.0,22.5
92.0,20.3,967.1,-3.54,0.0,21.7
91.0,20.6,967.4,-3.54,0.0,22.1
93.0,20.1,967.9,-3.54,0.0,21.3
96.0,21.1,968.3,26.079,0.0,21.8
90.0,21.9,969.1,503.135,0.0,23.7
76.0,21.5,969.6,1330.836,0.0,26.2
67.0,21.4,969.9,2176.784,0.0,28.0
58.0,21.1,969.7,2906.622,0.0,30.2
52.0,20.9,969.4,3436.547,0.5,31.9
51.0,21.6,969.0,3759.378,3.6,33.1
48.0,20.9,968.2,3846.251,2.6,33.2
44.0,21.0,967.5,3460.219,3.8,34.9
42.0,20.0,966.8,2945.02,4.3,34.6
43.0,20.0,966.0,2692.93,2.6,34.5
43.0,20.1,965.7,1936.071,2.9,34.6
48.0,21.0,965.3,1078.589,0.0,33.5
56.0,21.7,965.3,205.213,0.0,31.6
63.0,21.4,965.7,-1.436,0.0,29.0
69.0,21.8,966.1,-3.54,0.0,28.1
70.0,21.7,966.9,-3.54,0.0,27.7
65.0,20.3,967.0,-3.54,0.0,27.6
65.0,20.3,966.9,-3.54,0.0,27.3
68.0,20.6,966.5,-3.525,0.0,26.9
76.0,21.8,966.0,-3.54,0.0,26.3
83.0,22.7,965.7,-3.54,0.0,25.9
86.0,23.0,965.8,-3.521,0.0,25.6
87.0,23.4,965.8,-3.54,0.0,25.6
91.0,23.9,966.5,14.664,0.0,25.4
77.0,22.9,966.9,440.544,0.0,27.3
65.0,21.6,966.8,1281.23,4.5,28.8
62.0,22.1,966.0,2129.775,5.9,30.3
53.0,21.3,965.6,2884.138,7.4,32.1
48.0,21.0,965.6,3437.6,7.1,33.4
45.0,20.8,966.3,3692.742,5.8,34.4
42.0,20.9,966.3,3760.251,4.2,35.7
42.0,20.1,965.9,3675.176,3.3,34.9
42.0,20.3,964.6,3009.495,3.6,35.0
40.0,20.0,964.1,2774.676,3.2,35.7
38.0,18.9,963.3,2008.423,4.6,35.4
41.0,19.4,963.8,1129.686,0.6,34.4
60.0,18.0,965.0,197.352,8.3,26.5
66.0,17.8,966.5,0.579,4.8,24.7
59.0,15.8,967.7,-3.41,5.2,24.2
59.0,15.3,967.8,-3.54,5.1,23.8
60.0,15.3,968.2,-3.54,3.8,23.4
66.0,15.9,967.9,-3.536,4.3,22.7
67.0,15.8,967.5,-3.54,0.8,22.1
70.0,16.2,967.7,-3.54,0.0,21.9
72.0,16.2,967.4,-3.54,0.0,21.5
72.0,16.5,966.2,-3.54,0.0,21.8
75.0,17.3,965.8,-3.54,0.0,21.9
80.0,18.3,966.7,8.446,0.0,21.9
79.0,19.3,967.6,315.935,0.0,23.1
67.0,18.7,968.2,1012.382,0.0,25.3
63.0,18.8,968.6,1657.234,0.0,26.3
60.0,19.9,968.9,2708.944,0.0,28.6
55.0,19.4,968.8,2407.862,0.0,29.3
51.0,19.0,968.4,2551.445,0.0,30.2
50.0,19.2,967.5,2648.005,0.0,30.7
50.0,20.0,966.5,1945.486,0.0,31.6
50.0,20.9,965.2,2330.668,0.0,32.6
56.0,20.7,964.7,756.676,0.0,30.3
61.0,20.8,964.6,285.55,0.0,29.2
67.0,21.1,964.6,135.133,0.0,27.7
68.0,21.2,965.2,109.099,0.0,27.5
74.0,21.6,966.2,-0.213,0.0,26.5
83.0,22.0,966.5,-3.54,0.0,25.1
77.0,21.5,966.7,-3.497,0.0,25.9
78.0,21.7,967.7,-3.54,0.0,26.0
81.0,22.2,967.6,-3.497,0.0,25.8
83.0,21.6,967.9,-2.737,3.8,24.7
79.0,20.2,967.7,-2.744,2.8,24.0
78.0,19.5,967.2,-3.536,0.0,23.6
79.0,19.7,967.1,-3.504,0.0,23.5
84.0,19.7,966.8,-3.525,0.0,22.6
83.0,19.7,967.5,3.862,0.0,22.7
82.0,20.3,968.3,200.698,0.8,23.5
74.0,20.6,969.2,1001.194,2.4,25.5
73.0,20.7,969.8,1107.147,2.0,26.0
68.0,21.3,969.8,2070.095,0.8,27.8
63.0,19.9,970.1,1114.748,0.0,27.6
57.0,19.7,969.6,3184.0,0.0,29.1
55.0,19.8,968.9,3491.148,0.2,29.8
54.0,19.9,968.3,2449.397,0.0,30.4
50.0,19.2,967.5,2129.117,0.0,30.8
52.0,20.4,966.5,1807.067,0.0,31.3
50.0,18.7,966.0,1390.979,0.0,30.2
62.0,21.8,966.0,802.028,0.0,30.1
75.0,21.7,966.6,182.002,0.0,26.4
79.0,21.4,967.2,3.052,3.4,25.3
81.0,21.2,967.8,-3.54,0.7,24.6
83.0,21.1,968.1,-3.54,0.0,24.2
83.0,21.0,968.3,-3.54,0.0,24.1
84.0,20.9,968.4,-3.54,0.3,23.8
84.0,20.6,968.0,-3.54,0.0,23.4
87.0,20.5,967.8,-3.54,0.0,22.8
86.0,20.3,967.8,-3.54,1.6,22.8
87.0,20.2,967.9,-3.54,0.7,22.6
88.0,20.3,968.2,-3.54,0.0,22.4
88.0,20.1,968.8,14.332,0.0,22.3
82.0,20.3,969.5,430.138,2.8,23.6
75.0,20.4,969.9,1202.187,5.6,25.0
71.0,21.2,970.2,2088.832,4.7,27.0
66.0,21.8,970.2,2704.587,0.2,28.9
56.0,21.4,969.7,3649.065,3.2,31.2
55.0,21.6,969.3,2761.181,1.7,31.7
51.0,21.1,968.5,3488.777,3.0,32.6
51.0,20.9,967.8,2918.886,3.1,32.4
48.0,20.1,966.7,2876.334,1.8,32.5
48.0,20.6,966.1,2288.508,2.7,33.2
51.0,21.1,965.5,2105.479,0.0,32.6
56.0,21.5,965.3,759.493,1.7,31.5
65.0,21.7,965.8,320.773,0.0,29.0
70.0,21.3,966.2,0.873,0.0,27.2
71.0,21.4,966.9,-3.54,1.8,27.0
76.0,21.6,967.2,-3.54,1.0,26.2
74.0,21.3,967.5,-3.54,2.5,26.2
79.0,21.9,967.5,-3.54,0.9,25.7
86.0,22.7,967.0,-3.54,1.2,25.2
89.0,22.9,967.1,-3.54,0.0,24.9
86.0,22.2,967.0,-3.54,1.4,24.6
84.0,21.5,967.0,-3.54,2.6,24.5
81.0,21.2,967.3,-3.54,2.7,24.6
84.0,21.5,968.1,5.911,3.3,24.4
82.0,22.3,968.5,274.076,3.8,25.6
76.0,22.6,969.1,1268.013,4.6,27.2
71.0,23.2,969.5,2125.724,3.4,29.0
62.0,22.4,969.5,2422.138,0.0,30.5
54.0,21.6,969.0,2563.4,2.8,32.0
51.0,21.5,968.6,3838.115,3.5,33.0
50.0,21.4,967.8,3171.746,3.8,33.3
45.0,20.4,966.6,3377.259,2.6,34.2
42.0,20.0,965.9,2637.531,2.0,34.8
43.0,20.7,964.8,2756.277,0.3,35.1
61.0,21.0,965.7,768.479,5.1,29.4
79.0,23.0,965.9,180.481,0.7,27.1
77.0,22.6,965.9,26.752,0.0,26.8
83.0,22.4,968.3,-2.276,0.0,25.5
83.0,22.5,968.6,-3.074,0.0,25.6
94.0,21.8,969.6,-2.869,2.8,22.9
93.0,21.3,969.7,-1.437,2.5,22.6
92.0,21.4,969.2,-2.84,0.0,22.8
94.0,21.6,967.1,-3.217,0.0,22.6
92.0,21.4,966.6,-2.856,0.0,22.7
94.0,21.5,966.8,-3.516,0.0,22.4
89.0,20.5,966.8,-3.538,0.6,22.4
95.0,21.3,967.4,-3.527,0.0,22.2
96.0,21.6,968.0,17.371,0.0,22.3
93.0,22.2,969.0,241.131,0.0,23.4
87.0,22.4,969.5,814.956,0.0,24.7
82.0,22.6,969.8,1149.135,0.2,25.9
76.0,21.8,969.9,1613.74,0.4,26.4
75.0,22.4,969.6,1910.552,2.3,27.3
73.0,22.2,969.0,1793.621,1.4,27.4
67.0,22.6,968.7,2816.38,1.3,29.4
65.0,22.5,967.7,2945.473,2.8,29.9
58.0,21.9,967.1,2299.793,0.1,31.2
59.0,21.3,966.1,2028.171,1.5,30.2
60.0,21.1,966.5,1367.053,0.2,29.8
62.0,21.6,966.2,890.2,0.0,29.5
66.0,20.7,966.7,310.318,3.3,27.5
73.0,19.8,967.5,5.263,0.2,24.9
79.0,19.5,968.2,-3.54,0.0,23.4
79.0,19.5,968.5,-3.54,0.0,23.4
86.0,19.7,968.5,-3.54,0.0,22.1
87.0,19.4,967.8,-3.54,0.0,21.7
88.0,19.3,966.9,-3.54,0.0,21.3
90.0,19.2,966.2,-3.54,0.0,20.9
91.0,19.2,965.9,-3.54,0.0,20.6
91.0,19.3,966.0,-3.54,0.0,20.8
93.0,19.3,966.1,-3.54,0.0,20.5
95.0,19.1,966.7,6.537,0.0,19.9
92.0,20.6,967.4,392.897,0.0,22.0
80.0,20.1,968.2,1129.62,0.8,23.7
76.0,21.3,968.4,1957.166,3.5,25.8
70.0,21.2,968.7,2785.943,4.1,27.2
60.0,20.7,968.6,3496.372,3.2,29.4
53.0,20.0,967.9,3963.998,0.0,30.5
48.0,18.2,967.3,3068.467,0.0,30.3
46.0,19.2,966.4,2708.246,1.1,32.2
49.0,18.3,966.0,1546.228,2.4,30.3
47.0,17.7,965.3,746.204,0.0,30.2
50.0,18.3,965.0,501.134,0.0,29.8
46.0,17.8,964.7,595.289,0.3,30.6
58.0,19.4,965.0,298.014,0.0,28.6
69.0,19.7,965.5,-0.366,0.0,25.8
70.0,19.2,966.1,-3.54,0.0,25.1
68.0,19.1,967.0,-3.529,1.1,25.3
68.0,19.1,967.1,-3.54,1.6,25.4
74.0,19.5,966.8,-3.54,0.0,24.4
77.0,19.8,966.7,-3.54,2.2,24.1
78.0,19.4,966.7,-3.54,4.8,23.6
77.0,18.4,967.0,-3.504,4.3,22.7
75.0,17.9,966.8,-2.423,4.5,22.5
72.0,17.2,967.0,-2.9,6.2,22.5
77.0,17.3,968.1,4.515,4.0,21.5
78.0,17.5,968.4,129.427,4.5,21.6
74.0,17.8,969.1,519.315,4.7,22.7
64.0,17.9,969.5,2020.725,5.7,25.1
63.0,18.6,969.5,2914.309,4.6,26.2
61.0,19.1,969.3,1958.254,3.3,27.2
53.0,18.9,968.5,3064.838,3.7,29.7
50.0,18.7,967.8,3950.798,3.4,30.2
45.0,18.1,967.1,3980.373,3.0,31.6
44.0,18.3,966.5,3448.774,0.9,31.9
47.0,17.9,965.8,2091.99,2.7,30.6
58.0,19.8,965.3,1006.196,2.0,28.9
51.0,18.5,965.1,967.268,0.0,29.6
58.0,19.4,965.1,279.143,0.0,28.4
63.0,19.0,965.5,1.252,0.0,26.7
63.0,18.8,966.2,-3.54,0.0,26.5
67.0,18.8,967.0,-3.54,0.0,25.4
70.0,18.7,967.4,-3.54,1.2,24.7
70.0,18.3,967.2,-3.54,2.1,24.1
69.0,17.6,967.1,-3.54,3.1,23.7
71.0,17.5,966.7,-3.54,3.7,23.1
75.0,17.6,966.4,-3.54,3.3,22.2
80.0,17.9,966.6,-3.54,1.4,21.5
80.0,17.4,967.1,-3.54,3.8,21.0
83.0,17.4,967.7,9.607,3.6,20.3
78.0,17.4,968.2,434.406,4.8,21.4
69.0,17.3,968.8,1292.017,4.7,23.3
64.0,17.4,968.9,2147.805,6.5,24.5
59.0,17.5,968.8,2903.35,4.8,26.2
54.0,17.9,969.0,3467.107,3.7,28.2
50.0,18.5,968.3,3800.999,1.9,30.1
46.0,18.3,967.6,3917.851,0.8,31.4
44.0,18.7,966.8,3816.77,0.2,32.7
40.0,17.0,965.6,2117.603,0.0,32.5
40.0,16.6,964.5,2317.897,0.0,32.0
41.0,17.4,963.8,2017.868,0.0,32.5
42.0,16.8,963.8,1195.322,0.0,31.4
53.0,18.9,964.1,167.742,0.0,29.4
55.0,18.0,965.1,-0.038,0.0,27.8
59.0,18.1,965.5,-3.54,0.0,26.8
60.0,18.0,966.2,-3.54,0.0,26.5
62.0,17.9,966.7,-3.54,0.1,25.7
65.0,18.0,966.7,-3.54,0.0,25.1
64.0,18.0,966.4,-3.54,0.0,25.3
67.0,18.3,965.9,-3.444,0.0,24.8
70.0,18.8,966.1,-3.499,0.0,24.6
71.0,18.6,966.1,-3.538,0.2,24.2
74.0,19.1,966.3,-3.54,1.4,24.0
75.0,19.0,967.0,9.042,2.1,23.6
70.0,18.2,967.7,228.767,3.5,24.0
70.0,18.9,968.2,683.376,3.1,24.8
61.0,18.7,968.5,1261.984,4.7,26.8
60.0,18.9,968.7,1982.003,2.8,27.2
58.0,19.3,969.1,1548.862,2.7,28.2
57.0,19.7,968.9,1422.097,0.0,29.2
54.0,20.0,968.4,1899.551,0.0,30.2
51.0,18.9,967.5,1990.56,0.0,30.2
54.0,19.3,966.2,830.532,0.0,29.5
48.0,19.1,965.5,1420.603,0.2,31.7
50.0,19.2,965.5,1315.58,1.7,30.9
57.0,20.8,965.9,1071.924,0.0,30.4
58.0,20.1,966.7,216.85,0.0,29.1
76.0,22.1,967.6,3.106,0.7,26.8
75.0,21.0,967.8,-3.54,0.0,25.8
81.0,21.7,968.4,-3.54,0.0,25.1
88.0,21.5,968.4,-3.54,0.0,23.7
90.0,21.4,968.0,-3.54,0.0,23.2
88.0,20.7,967.5,-3.54,0.0,22.8
89.0,20.8,967.1,-3.54,0.0,22.7
88.0,20.4,966.9,-3.54,0.0,22.4
86.0,20.3,966.5,-3.474,0.0,22.7
91.0,20.6,966.9,-3.527,0.0,22.1
91.0,20.7,967.6,9.944,0.0,22.4
84.0,21.5,968.0,383.876,0.0,24.4
73.0,21.4,968.6,1217.285,0.0,26.6
63.0,21.1,969.0,2064.004,0.0,28.9
55.0,20.1,969.1,2826.497,0.0,30.3
51.0,19.8,969.0,3217.195,0.0,31.3
44.0,19.0,968.4,3268.527,0.0,32.9
37.0,17.8,967.9,3576.666,0.0,34.4
48.0,20.0,966.8,1329.82,0.0,32.2
85.0,23.0,966.3,809.065,0.6,25.7
52.0,20.7,964.6,2299.493,0.0,31.8
48.0,19.7,964.2,1764.727,0.0,32.0
48.0,19.4,964.3,1073.842,0.2,31.8
62.0,20.2,965.4,326.868,1.9,28.3
70.0,20.4,966.0,4.054,0.0,26.4
72.0,20.2,966.5,-3.54,0.0,25.6
69.0,19.3,966.9,-3.54,0.0,25.4
69.0,19.2,967.2,-3.54,0.0,25.3
72.0,19.6,967.2,-3.54,0.0,25.0
72.0,18.9,966.4,-3.54,0.0,24.4
79.0,19.4,965.7,-3.54,0.0,23.3
86.0,19.6,965.6,-3.536,0.0,22.2
80.0,19.4,965.7,-3.54,0.0,23.0
80.0,19.7,966.0,-3.54,1.8,23.4
